2022-06-09 00:14:42,203 [TB-Scheduling-1] INFO  o.t.s.c.t.s.DefaultTransportService - Transport Stats: openConnections [0]
2022-06-09 00:14:47,471 [TB-Scheduling-2] INFO  o.t.s.s.s.DefaultTbEntityDataSubscriptionService - Stats: regularQueryInvocationCnt = [0], regularQueryInvocationTime = [0], dynamicQueryCnt = [1] dynamicQueryInvocationCnt = [0], dynamicQueryInvocationTime = [0], alarmQueryInvocationCnt = [0], alarmQueryInvocationTime = [0]
2022-06-09 00:14:51,736 [DefaultTelemetryWebSocketService-29-5] WARN  o.t.s.c.plugin.TbWebSocketHandler - [332f1598-9cdc-74a4-c59c-88c6ab71afda] Closing session due to ping timeout
2022-06-09 00:14:51,767 [DefaultTelemetryWebSocketService-29-5] INFO  o.t.s.c.plugin.TbWebSocketHandler - [332f1598-9cdc-74a4-c59c-88c6ab71afda] Session is closed
2022-06-09 00:14:52,827 [sql-log-1-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-2 [TS] queueSize [0] totalAdded [4] totalSaved [4] totalFailed [0]
2022-06-09 00:14:52,872 [sql-log-1-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-2 [TS Latest] queueSize [0] totalAdded [4] totalSaved [4] totalFailed [0]
2022-06-09 00:14:56,062 [http-nio-0.0.0.0-9090-exec-6] INFO  o.t.s.c.plugin.TbWebSocketHandler - [e92ea4a0-e4e3-11ec-ad01-81f2bd71b544][a1240b24-82c2-43bd-977f-04a72c97a30d][5f503fd9-e614-ce29-e1b5-261c575c4e64] Session is opened
2022-06-09 00:14:57,477 [TB-Scheduling-3] INFO  o.t.s.s.s.DefaultTbEntityDataSubscriptionService - Stats: regularQueryInvocationCnt = [3], regularQueryInvocationTime = [17], dynamicQueryCnt = [1] dynamicQueryInvocationCnt = [0], dynamicQueryInvocationTime = [0], alarmQueryInvocationCnt = [1], alarmQueryInvocationTime = [8]
2022-06-09 00:15:07,503 [TB-Scheduling-4] INFO  o.t.s.s.s.DefaultTbEntityDataSubscriptionService - Stats: regularQueryInvocationCnt = [0], regularQueryInvocationTime = [0], dynamicQueryCnt = [1] dynamicQueryInvocationCnt = [0], dynamicQueryInvocationTime = [0], alarmQueryInvocationCnt = [0], alarmQueryInvocationTime = [0]
2022-06-09 00:30:36,226 [TB-Scheduling-1] INFO  o.t.s.s.s.DefaultTbEntityDataSubscriptionService - Stats: regularQueryInvocationCnt = [0], regularQueryInvocationTime = [0], dynamicQueryCnt = [1] dynamicQueryInvocationCnt = [0], dynamicQueryInvocationTime = [0], alarmQueryInvocationCnt = [0], alarmQueryInvocationTime = [0]
2022-06-09 00:30:40,434 [DefaultTelemetryWebSocketService-29-5] WARN  o.t.s.c.plugin.TbWebSocketHandler - [5f503fd9-e614-ce29-e1b5-261c575c4e64] Closing session due to ping timeout
2022-06-09 00:30:40,477 [DefaultTelemetryWebSocketService-29-5] INFO  o.t.s.c.plugin.TbWebSocketHandler - [5f503fd9-e614-ce29-e1b5-261c575c4e64] Session is closed
